f0008:

W_Fdic:
the                 : 778     and                 : 281     of                  : 269     resource            : 244     
['previous', 'JJ']                 : 8       ['given', 'VBN']                   : 8       ['independent', 'JJ']              : 8       
['there', 'EX']                    : 8       ['following', 'NN']                : 8       ['reflects', 'VBZ']                : 8       
['since', 'IN']                    : 8       ['original', 'JJ']                 : 8       ['common', 'JJ']                   : 7       
['...', 'NNS']                     : 7       ['constraint', 'NN']               : 7       ['point', 'NNP']                   : 7       
['dependence', 'NN']               : 7       ['events', 'NNS']                  : 7       ['model', 'NNP']                   : 7       
['dimensions', 'NNS']              : 7       ['space', 'NNP']                   : 7       ['uncertainty', 'NN']              : 7       
['classified', 'VBN']              : 7       ['organize', 'VB']                 : 7       ['active', 'JJ']                   : 7       
['let', 'VB']                      : 7       ['fig', 'VB']                      : 7       ['characteristics', 'NNS']         : 7       
['appropriate', 'JJ']              : 7       ['corresponding', 'JJ']            : 7       ['rules', 'NNS']                   : 7       
['another', 'DT']                  : 7       ['from', 'NNP']                    : 7       ['e.g.', 'NNP']                    : 7       
['database', 'NN']                 : 7       ['types', 'NNS']                   : 7       ['support', 'VB']                  : 6       
['yn', 'NNP']                      : 6       ['effective', 'JJ']                : 6       ['event', 'NN']                    : 6       
['called', 'VBN']                  : 6       ['reasoning', 'NN']                : 6       ['degree', 'NN']                   : 6       
['total', 'JJ']                    : 6       ['concerns', 'VBZ']                : 6       ['xj', 'NNP']                      : 6       
['new', 'JJ']                      : 6       ['using', 'VBG']                   : 6       ['approach', 'NN']                 : 6       
['coordinate', 'VB']               : 6       ['reflect', 'VB']                  : 6       ['mechanisms', 'NNS']              : 6       
['set', 'VBN']                     : 6       ['methods', 'NNS']                 : 6       ['36', 'CD']                       : 6       
['levels', 'NNS']                  : 6       ["''", "''"]                       : 6       ['important', 'JJ']                : 6       
['experiment', 'NN']               : 6       ['holds', 'VBZ']                   : 6       ['x2', 'NNP']                      : 6       
['contents', 'NNS']                : 6       ['definition', 'NNS']              : 6       ['topics', 'NNP']                  : 6       
['most', 'RBS']                    : 6       ['facets', 'NNS']                  : 6       ['select', 'NNP']                  : 6       
['does', 'VBZ']                    : 6       ['values', 'NNS']                  : 6       ['topics', 'NNS']                  : 6       
['several', 'JJ']                  : 6       ['relations', 'NNS']               : 6       ['merge', 'JJ']                    : 6       
['management', 'NN']               : 6       ['key', 'NN']                      : 6       ['coordinate', 'JJ']               : 6       
['candidate', 'NN']                : 6       ['represents', 'VBZ']              : 6       ['lead', 'VB']                     : 5       
['ability', 'NN']                  : 5       ['-lsb-', 'NNS']                   : 5       ['more', 'JJR']                    : 5       
['type', 'NN']                     : 5       ['querying', 'VBG']                : 5       ['basis', 'NN']                    : 5       
['bound', 'VBN']                   : 5       ['due', 'JJ']                      : 5       ['simultaneously', 'RB']           : 5       
['automatically', 'RB']            : 5       ['axis', 'JJ']                     : 5       ['take', 'VB']                     : 5       
['ontology', 'NN']                 : 5       ['i.e.', 'RB']                     : 5       ['constraints', 'NNS']             : 5       
['probabilistic', 'NN']            : 5       ['function', 'NN']                 : 5       ['networks', 'NNS']                : 5       
['equal', 'JJ']                    : 5       ['tree', 'NN']                     : 5       ['y1', 'NNS']                      : 5       
['trees', 'NNS']                   : 5       ['three', 'CD']                    : 5       ['subclass', 'NNS']                : 5       
['-lsb-', 'NN']                    : 5       ['lemma', 'NN']                    : 5       ['point', 'VB']                    : 5       
['patterns', 'NNS']                : 5       ['x3', 'NNP']                      : 5       ['abstraction', 'NN']              : 5       
['35', 'CD']                       : 5       ['follows', 'VBZ']                 : 5       ['p2', 'NNS']                      : 5       
['coordinates', 'NNS']             : 5       ['introduced', 'VBN']              : 5       ['returned', 'JJ']                 : 5       
['fine', 'JJ']                     : 5       ['calculated', 'VBN']              : 5       ['humans', 'NNS']                  : 5       
['need', 'VBP']                    : 5       ['web', 'NNP']                     : 5       ['defined', 'VBN']                 : 5       
['integrating', 'VBG']             : 5       ['operating', 'VBG']               : 5       ['effectively', 'RB']              : 5       
['that', 'DT']                     : 5       ['first', 'JJ']                    : 5       ['goes', 'VBZ']                    : 4       
['ors2', 'NNP']                    : 4       ['structure', 'NN']                : 4       ['after', 'IN']                    : 4       
['functions', 'NNS']               : 4       ['obtained', 'VBN']                : 4       ['transformed', 'VBN']             : 4       
['theory', 'NN']                   : 4       ['xml', 'NN']                      : 4       ['denoted', 'VBN']                 : 4       
['mind', 'NN']                     : 4       ['linear', 'JJ']                   : 4       ['mainly', 'RB']                   : 4       
['polynomial', 'JJ']               : 4       ['merged', 'VBN']                  : 4       ['-lsb-', 'VBZ']                   : 4       
['inserting', 'VBG']               : 4       ['satisfied', 'JJ']                : 4       ['should', 'MD']                   : 4       
['so', 'RB']                       : 4       ['p1', 'CD']                       : 4       ['difficult', 'JJ']                : 4       
['rules', 'NNP']                   : 4       ['individuals', 'NNS']             : 4       ['-rsb-', 'JJ']                    : 4       
['links', 'VBZ']                   : 4       ['merging', 'VBG']                 : 4       ['like', 'IN']                     : 4       
['schema', 'NN']                   : 4       ['results', 'NNS']                 : 4       ['definition', 'NN']               : 4       
['addition', 'NN']                 : 4       ['hierarchy', 'NN']                : 4       ['satisfactory', 'JJ']             : 4       
['ors1', 'NNP']                    : 4       ['includes', 'VBZ']                : 4       ['sub-coordinates', 'NNS']         : 4       
['makes', 'VBZ']                   : 4       ['probabilistic', 'NNP']           : 4       ['because', 'IN']                  : 4       
['cyber-physical-socio', 'JJ']     : 4       ['interface', 'NN']                : 4       ['problem', 'NN']                  : 4       
['created', 'VBN']                 : 4       ['influence', 'NN']                : 4       ['axis', 'NNP']                    : 4       
['quality', 'NNP']                 : 4       ['general', 'JJ']                  : 4       ['layers', 'NNS']                  : 4       
['students', 'NNS']                : 4       ['lifetime', 'NN']                 : 4       ['result', 'NN']                   : 4       
['room', 'NN']                     : 4       ['inserted', 'VBN']                : 4       ['no', 'DT']                       : 4       
['distance', 'NN']                 : 4       ['explore', 'VB']                  : 4       ['so', 'IN']                       : 4       
['locations', 'NNP']               : 4       ['about', 'IN']                    : 4       ['behaviors', 'NNS']               : 4       
['axis', 'VBZ']                    : 4       ['xm', 'NNP']                      : 4       ['database', 'NNP']                : 4       
['category', 'NN']                 : 4       ['rsm', 'NN']                      : 4       ['such', 'PDT']                    : 4       
['while', 'IN']                    : 4       ['system', 'NN']                   : 4       ['concepts', 'NNS']                : 4       
['suitable', 'JJ']                 : 4       ['kind', 'NN']                     : 4       ['indicates', 'VBZ']               : 4       
['lemma', 'NNS']                   : 4       ['naturally', 'RB']                : 4       ['many', 'JJ']                     : 4       
['lower', 'JJR']                   : 4       ['item', 'NN']                     : 4       ['location', 'NNP']                : 4       
['documents', 'NNS']               : 4       ['ct', 'NNP']                      : 4       ['reflected', 'VBN']               : 4       
['tables', 'NNS']                  : 4       ['be', 'VBP']                      : 4       ['needs', 'VBZ']                   : 4       
['layer', 'NN']                    : 4       ['queries', 'NNS']                 : 4       ['attribute', 'NN']                : 4       
['respectively', 'RB']             : 4       ['process', 'NN']                  : 4       ['as', 'RB']                       : 4       
['sensors', 'NNS']                 : 3       ['depicts', 'VBZ']                 : 3       ['role', 'NN']                     : 3       
['second', 'JJ']                   : 3       ['target', 'NN']                   : 3       ['adding', 'VBG']                  : 3       
['hard', 'JJ']                     : 3       ['representing', 'VBG']            : 3       ['value', 'NN']                    : 3       
['search', 'VB']                   : 3       ['fact', 'NN']                     : 3       ['assume', 'VBP']                  : 3       
['facility', 'NNP']                : 3       ['interaction', 'NN']              : 3       ['belonging', 'VBG']               : 3       
['object', 'JJ']                   : 3       ['both', 'CC']                     : 3       ['texts', 'NNS']                   : 3       
['existence', 'NN']                : 3       ['price', 'NNP']                   : 3       ['query', 'VB']                    : 3       
['accurately', 'RB']               : 3       ['represented', 'VBN']             : 3       ['min', 'NN']                      : 3       
['p1', 'NNS']                      : 3       ['covered', 'VBN']                 : 3       ['statement', 'NN']                : 3       
['share', 'VBP']                   : 3       ['unified', 'JJ']                  : 3       ['evolution', 'NN']                : 3       
['create', 'VB']                   : 3       ['out', 'RP']                      : 3       ['yn', 'FW']                       : 3       
['introduces', 'VBZ']              : 3       ['p1', 'JJ']                       : 3       ['established', 'VBN']             : 3       
['select', 'VB']                   : 3       ['done', 'VBN']                    : 3       ['merge', 'VB']                    : 3       
['represent', 'VBP']               : 3       ['gender', 'NN']                   : 3       ['new', 'NNP']                     : 3       
['relation', 'NNP']                : 3       ['cluster', 'NN']                  : 3       ['falls', 'VBZ']                   : 3       
['restrictions', 'NNS']            : 3       ['feasible', 'JJ']                 : 3       ['flat', 'JJ']                     : 3       
['combination', 'NN']              : 3       ['2001', 'CD']                     : 3       ['knowledge', 'NN']                : 3       
['proposed', 'VBN']                : 3       ['even', 'RB']                     : 3       ['satisfying', 'JJ']               : 3       
['projection', 'NN']               : 3       ['evaluate', 'VB']                 : 3       ['behaviors', 'NNP']               : 3       
['drawn', 'VBN']                   : 3       ['hotels', 'NNS']                  : 3       ['42', 'CD']                       : 3       
['upper', 'JJ']                    : 3       ['college', 'NN']                  : 3       ['fundamental', 'JJ']              : 3       
['research', 'NNP']                : 3       ['among', 'IN']                    : 3       ['contains', 'VBZ']                : 3       
['navigation', 'NN']               : 3       ['service', 'NN']                  : 3       ['experience', 'NN']               : 3       
['denotes', 'VBZ']                 : 3       ['browser', 'NNP']                 : 3       ['top-level', 'JJ']                : 3       
['where', 'NNP']                   : 3       ['1.5', 'CD']                      : 3       ['p2', 'JJ']                       : 3       
['upper', 'RB']                    : 3       ['easier', 'JJR']                  : 3       ['who', 'WP']                      : 3       
['thus', 'RB']                     : 3       ['evolve', 'VB']                   : 3       ['distributed', 'VBN']             : 3       
['facility', 'NN']                 : 3       ['large-scale', 'JJ']              : 3       ['continuous', 'JJ']               : 3       
['help', 'VB']                     : 3       ['non-1nf', 'JJ']                  : 3       ['change', 'VB']                   : 3       
['returned', 'VBN']                : 3       ['categories', 'NNS']              : 3       ['maximum', 'NN']                  : 3       
['parent', 'NN']                   : 3       ['prs1', 'NN']                     : 3       ['eliminate', 'VB']                : 3       
['gender', 'NNP']                  : 3       ['usually', 'RB']                  : 3       ['applies', 'VBZ']                 : 3       
['resources', 'NNP']               : 3       ['managed', 'VBN']                 : 3       ['concern', 'VB']                  : 3       
['rule', 'NNS']                    : 3       ['without', 'IN']                  : 3       ['classify', 'VB']                 : 3       
['ensure', 'VB']                   : 3       ['-rrb-', 'RB']                    : 3       ['-rsb-', 'VBZ']                   : 3       
['13', 'CD']                       : 3       ['digital', 'JJ']                  : 3       ['entry', 'NN']                    : 3       
['integrated', 'VBN']              : 3       ['l1', 'NNP']                      : 3       ['describes', 'VBZ']               : 3       
['dependent', 'JJ']                : 3       ['38', 'CD']                       : 3       ['search', 'NNP']                  : 3       
['sometimes', 'RB']                : 3       ['orthogonal', 'JJ']               : 3       ['interfaces', 'NNP']              : 3       
['language', 'NN']                 : 3       ['facet', 'NN']                    : 3       ['2007', 'CD']                     : 3       
['theorem', 'VB']                  : 3       ['zk', 'NNP']                      : 3       ['both', 'DT']                     : 3       
['quality', 'NN']                  : 3       ['plays', 'VBZ']                   : 3       ['belong', 'VB']                   : 3       
['organized', 'VBN']               : 3       ['subject', 'VB']                  : 3       ['range', 'NN']                    : 3       
['theorem', 'NNP']                 : 3       ['null', 'JJ']                     : 3       ['obtain', 'VB']                   : 3       
['entities', 'NNS']                : 3       ['uploading', 'VBG']               : 3       ['human', 'JJ']                    : 3       
['accessed', 'VBN']                : 3       ['increase', 'NN']                 : 3       ['locate', 'VB']                   : 3       
['main', 'JJ']                     : 3       ['solution', 'NN']                 : 3       ['prs1', 'NNP']                    : 3       
['location', 'NN']                 : 3       ['pj', 'NN']                       : 2       ['leaf', 'NN']                     : 2       
['therefore', 'RB']                : 2       ['case', 'NN']                     : 2       ['constitutes', 'VBZ']             : 2       
['15', 'CD']                       : 2       ['higher', 'JJR']                  : 2       ['cm', 'NNP']                      : 2       
['natural', 'JJ']                  : 2       ['multimedia', 'FW']               : 2       ['xn', 'VBN']                      : 2       
['performance', 'NNP']             : 2       ['itself', 'PRP']                  : 2       ['-rsb-', 'CD']                    : 2       
['preserves', 'VBZ']               : 2       ['work', 'NN']                     : 2       ['rs1', 'NN']                      : 2       
['y1', 'NNP']                      : 2       ['coordinates', 'VBG']             : 2       ['emerge', 'VB']                   : 2       
['subset', 'NN']                   : 2       ['define', 'VB']                   : 2       ['default', 'NN']                  : 2       
['them', 'PRP']                    : 2       ['associated', 'VBN']              : 2       ['chemistry', 'NN']                : 2       
['impact', 'NN']                   : 2       ['flexible', 'JJ']                 : 2       ['both', 'PDT']                    : 2       
['transforming', 'VBG']            : 2       ['possible', 'JJ']                 : 2       ['discovery', 'NN']                : 2       
['phenomena', 'NNS']               : 2       ['designed', 'VBN']                : 2       ['normalization', 'NN']            : 2       
['2002', 'CD']                     : 2       ['spaces', 'NN']                   : 2       ['apartment', 'NNP']               : 2       
['identify', 'VB']                 : 2       ['have', 'VB']                     : 2       ['emerging', 'VBG']                : 2       
['separated', 'JJ']                : 2       ['use', 'VB']                      : 2       ['adapt', 'VB']                    : 2       
['guarantees', 'NNS']              : 2       ['available', 'JJ']                : 2       ['support', 'NN']                  : 2       
['especially', 'RB']               : 2       ['dtds', 'NNS']                    : 2       ['11', 'CD']                       : 2       
['extended', 'VBN']                : 2       ['cases', 'NNS']                   : 2       ['conditional', 'JJ']              : 2       
['query', 'JJ']                    : 2       ['socio', 'JJ']                    : 2       ['advanced', 'JJ']                 : 2       
['retrieval', 'NN']                : 2       ['although', 'IN']                 : 2       ['reflect', 'VBP']                 : 2       
['only', 'JJ']                     : 2       ['dependency', 'NN']               : 2       ['structures', 'NNS']              : 2       
['operate', 'VB']                  : 2       ['section', 'NNP']                 : 2       ['determined', 'VBN']              : 2       
['xn', 'VB']                       : 2       ['independence', 'NN']             : 2       ['collected', 'VBN']               : 2       
['giving', 'VBG']                  : 2       ['differences', 'NNS']             : 2       ['remove', 'VB']                   : 2       
['37', 'CD']                       : 2       ['10', 'CD']                       : 2       ['reasons', 'NNS']                 : 2       
['theorem', 'NN']                  : 2       ['limitations', 'NNS']             : 2       ['communities', 'NNS']             : 2       
['student', 'NN']                  : 2       ['ensures', 'VBZ']                 : 2       ['york', 'NNP']                    : 2       
['demand', 'NN']                   : 2       ['converted', 'VBN']               : 2       ['rss', 'NNP']                     : 2       
['expression', 'NN']               : 2       ['know', 'VB']                     : 2       ['requires', 'VBZ']                : 2       
['discussed', 'VBN']               : 2       ['implies', 'VBZ']                 : 2       ['how', 'WRB']                     : 2       
['upload', 'VB']                   : 2       ['removal', 'NN']                  : 2       ['features', 'NNS']                : 2       
['sub-coordinate', 'NN']           : 2       ['complexity', 'NN']               : 2       ['were', 'VBD']                    : 2       
['minimum', 'JJ']                  : 2       ['clear', 'JJ']                    : 2       ['web', 'NN']                      : 2       
['concept', 'NN']                  : 2       ['hong', 'NNP']                    : 2       ['duplicated', 'JJ']               : 2       
['advantages', 'NNS']              : 2       ['lp', 'NN']                       : 2       ['real-time', 'NN']                : 2       
['well', 'RB']                     : 2       ['max', 'VBN']                     : 2       ['could', 'MD']                    : 2       
['make', 'VB']                     : 2       ['2006', 'CD']                     : 2       ['e-applications', 'NNS']          : 2       
['hierarchies', 'NNS']             : 2       ['firstly', 'RB']                  : 2       ['banff', 'NNP']                   : 2       
['evenly', 'RB']                   : 2       ['accurate', 'JJ']                 : 2       ['challenge', 'NN']                : 2       
['strategies', 'NNS']              : 2       ['2004', 'CD']                     : 2       ['effect', 'NN']                   : 2       
['recognition', 'NN']              : 2       ['experimental', 'JJ']             : 2       ['experience', 'NNP']              : 2       
['versatile', 'JJ']                : 2       ['deal', 'VB']                     : 2       ['down', 'RP']                     : 2       
['constraint', 'VB']               : 2       ['p-rsm', 'RB']                    : 2       ['systems', 'NNS']                 : 2       
['rule', 'NNP']                    : 2       ['db', 'NNP']                      : 2       ['consistency', 'NN']              : 2       
['evaluation', 'NN']               : 2       ['find', 'VB']                     : 2       ['insertion', 'NN']                : 2       
['experiments', 'NNS']             : 2       ['research', 'NN']                 : 2       ['z1', 'NNP']                      : 2       
['interdependent', 'NN']           : 2       ['operations', 'NNP']              : 2       ['shows', 'VBZ']                   : 2       
['male', 'NN']                     : 2       ['years', 'NNP']                   : 2       ['retrieved', 'VBN']               : 2       
['obvious', 'JJ']                  : 2       ['ubiquitous', 'NNP']              : 2       ['distributions', 'NNS']           : 2       
['determine', 'VB']                : 2       ['separated', 'VBN']               : 2       ['interactions', 'NNS']            : 2       
['searching', 'VBG']               : 2       ['set', 'VBD']                     : 2       ['ratio', 'NN']                    : 2       
['whether', 'IN']                  : 2       ['2003', 'CD']                     : 2       ['2005', 'CD']                     : 2       
['establish', 'VB']                : 2       ['path', 'NN']                     : 2       ['community', 'NN']                : 2       
['file', 'NN']                     : 2       ['nature', 'NN']                   : 2       ['0.3', 'CD']                      : 2       
['b2', 'NNS']                      : 2       ['social', 'JJ']                   : 2       ['ontologies', 'NNP']              : 2       
['z1', 'NNS']                      : 2       ['c1', 'NNS']                      : 2       ['years', 'VBZ']                   : 2       
['3.3', 'CD']                      : 2       ['40', 'CD']                       : 2       ['forms', 'VBZ']                   : 2       
['however', 'RB']                  : 2       ['webservices', 'NNP']             : 2       ['determining', 'VBG']             : 2       
['rs1', 'VBN']                     : 2       ['line', 'NN']                     : 2       ['tuple', 'NN']                    : 2       
['changes', 'NNS']                 : 2       ['nor', 'CC']                      : 2       ['major', 'JJ']                    : 2       
['become', 'VB']                   : 2       ['characteristic', 'NN']           : 2       ['a2', 'NNS']                      : 2       
['relational', 'NN']               : 2       ['existing', 'VBG']                : 2       ['0.2', 'CD']                      : 2       
['adaptation', 'NN']               : 2       ['mapping', 'VBG']                 : 2       ['maintaining', 'VBG']             : 2       
['automatic', 'JJ']                : 2       ['issue', 'NN']                    : 2       ['less', 'JJR']                    : 2       
['extensions', 'NNS']              : 2       ['scalability', 'NNP']             : 2       ['interact', 'VB']                 : 2       
['discussion', 'NN']               : 2       ['retrieve', 'VB']                 : 2       ['consequence', 'NN']              : 2       
['integration', 'NN']              : 2       ['updating', 'VBG']                : 2       ['commonsense', 'NN']              : 2       
['adjusted', 'VBN']                : 2       ['minds', 'NNS']                   : 2       ['specialization', 'NNP']          : 2       
['inconsistency', 'NN']            : 2       ['hand', 'NN']                     : 2       ['viewed', 'VBN']                  : 2       
['x1', 'NNS']                      : 2       ['browsing', 'NN']                 : 2       ['order', 'NN']                    : 2       
['neither', 'RB']                  : 2       ['...', '.']                       : 2       ['accuracy', 'NN']                 : 2       
['hierarchical', 'JJ']             : 2       ['wave', 'VB']                     : 2       ['bound', 'NN']                    : 2       
['calculating', 'VBG']             : 2       ['r2', 'NNS']                      : 2       ['statuses', 'NNS']                : 2       
['keeps', 'VBZ']                   : 2       ['good', 'JJ']                     : 2       ['link', 'VB']                     : 2       
['condition', 'NN']                : 2       ['datamining', 'NNP']              : 2       ['domain', 'NN']                   : 2       
['multi-layer', 'JJ']              : 2       ['opinion', 'NN']                  : 2       ['greater', 'JJR']                 : 2       
['seldom', 'RB']                   : 2       ['satisfy', 'VB']                  : 2       ['acquire', 'VB']                  : 2       
['math', 'NN']                     : 2       ['sercurity', 'NNP']               : 2       ['developed', 'VBN']               : 2       
['kong', 'NNP']                    : 2       ['long-term', 'JJ']                : 2       ['low', 'JJ']                      : 2       
['just', 'RB']                     : 2       ['webengineering', 'NNP']          : 2       ['uk', 'NNP']                      : 2       
['practice', 'NNP']                : 2       ['understanding', 'NN']            : 2       ['adopted', 'VBN']                 : 2       
['far', 'RB']                      : 2       ['idea', 'NN']                     : 2       ['redundancy', 'NN']               : 2       
['reliability', 'NNP']             : 2       ['incorporating', 'VBG']           : 2       ['chiba', 'NNP']                   : 2       
['resource', 'IN']                 : 2       ['ontology', 'NNP']                : 2       ['fig.', 'NNP']                    : 2       
['further', 'RBR']                 : 2       ['influence', 'VB']                : 2       ['21', 'CD']                       : 2       
['budapest', 'NNP']                : 2       ['designers', 'NNS']               : 2       ['semantic', 'NNP']                : 2       
['better', 'JJR']                  : 2       ['nf', 'NN']                       : 2       ['indicate', 'VB']                 : 2       
['non-null', 'JJ']                 : 2       ['100', 'CD']                      : 2       ['part', 'NN']                     : 2       
['examples', 'NNS']                : 2       ['xn', 'VBZ']                      : 2       ['nf', 'NNP']                      : 2       
['entertainment', 'NN']            : 2       ['having', 'VBG']                  : 2       ['xm', 'FW']                       : 2       
['12', 'CD']                       : 2       ['p2', 'CD']                       : 2       ['root', 'NN']                     : 2       
['where', 'VBP']                   : 2       ['style', 'NN']                    : 2       ['enable', 'VBP']                  : 2       
['larger', 'JJR']                  : 2       ['coordinate', 'NNS']              : 2       ['traditional', 'JJ']              : 2       
['regarded', 'VBN']                : 2       ['programming', 'NN']              : 2       ['form', 'VB']                     : 2       
['specified', 'VBN']               : 2       ['sensortype', 'NNP']              : 2       ['i.e.', 'FW']                     : 2       
['rs2', 'VBN']                     : 2       ['required', 'VBN']                : 2       ['approaches', 'NNS']              : 2       
['temporal', 'JJ']                 : 2       ['projections', 'NNS']             : 2       ['store', 'VB']                    : 2       
['regions', 'NNS']                 : 2       ['semantics', 'NNS']               : 2       ['constraint', 'NNP']              : 2       
['times', 'NNS']                   : 2       ['edinburgh', 'NNP']               : 2       ['empty', 'JJ']                    : 2       
['possibility', 'NN']              : 2       ['zk', 'FW']                       : 2       ['courses', 'NNS']                 : 2       
['prs2', 'NNP']                    : 2       ['x.', 'NNP']                      : 2       ['criterion', 'NN']                : 2       
['standard', 'NN']                 : 2       ['explicitly', 'RB']               : 2       ['concerns', 'NNS']                : 2       
['refined', 'VBN']                 : 2       ['least', 'JJS']                   : 2       ['maintain', 'VB']                 : 2       
['-rsb-', 'NN']                    : 2       ['multi-facet', 'JJ']              : 2       ['semanticweb', 'NNP']             : 2       
['3-dimensional', 'JJ']            : 2       ['hawaii', 'NNP']                  : 2       ['time', 'NNP']                    : 2       
['use', 'NN']                      : 2       ['5-star', 'JJ']                   : 2       ['future', 'JJ']                   : 2       
['content', 'NN']                  : 2       ['often', 'RB']                    : 2       ['food', 'NN']                     : 2       
['z1', 'VBN']                      : 2       ['hotel', 'NN']                    : 2       ['cs', 'NNP']                      : 2       
['adaption', 'NN']                 : 1       ['usual', 'JJ']                    : 1       ['corresponding', 'VBZ']           : 1       
['detecting', 'VBG']               : 1       ['sql-like', 'JJ']                 : 1       ['arduous', 'JJ']                  : 1       
['reflecting', 'VBG']              : 1       ['analyzed', 'VBN']                : 1       ['r1', 'NNS']                      : 1       
['expands', 'VBZ']                 : 1       ['unnecessary', 'JJ']              : 1       ['put', 'NN']                      : 1       
['apartment', 'NN']                : 1       ['delete', 'NNP']                  : 1       ['sequentially', 'RB']             : 1       
['t1', 'NNP']                      : 1       ['invented', 'VBN']                : 1       ['y1', 'VBN']                      : 1       
['economic', 'JJ']                 : 1       ['involved', 'VBN']                : 1       ['classification-preserve', 'NN']  : 1       
['transforms', 'VBZ']              : 1       ['reducing', 'NN']                 : 1       ['the', 'NNP']                     : 1       
['transformation', 'NN']           : 1       ['investigated', 'VBN']            : 1       ['formula', 'NN']                  : 1       
['dataspace', 'NNP']               : 1       ['specialize', 'VB']               : 1       ['26', 'CD']                       : 1       
['considers', 'VBZ']               : 1       ['object', 'NN']                   : 1       ['distinguished', 'JJ']            : 1       
['browsing', 'JJ']                 : 1       ['incomplete', 'JJ']               : 1       ['get', 'VBP']                     : 1       
['restriction', 'NN']              : 1       ['equivalent', 'JJ']               : 1       ['open', 'JJ']                     : 1       
['e-learning', 'NNP']              : 1       ['axis/point', 'NN']               : 1       ['increases', 'VBZ']               : 1       
['polynomial', 'NN']               : 1       ['cts', 'NN']                      : 1       ['energy', 'NN']                   : 1       
['unsatisfied', 'VB']              : 1       ['rs2', 'NN']                      : 1       ['third', 'JJ']                    : 1       
['calculate', 'VBD']               : 1       ['region', 'NN']                   : 1       ['lose', 'VB']                     : 1       
['exist', 'VBP']                   : 1       ['27', 'CD']                       : 1       ['own', 'JJ']                      : 1       
['initialized', 'VBN']             : 1       ['scale', 'NN']                    : 1       ['4-star', 'JJ']                   : 1       
['relation', 'NN']                 : 1       ['one-dimensional', 'JJ']          : 1       ['shows', 'NNS']                   : 1       
['classes', 'NNP']                 : 1       ['china.beijing', 'NNP']           : 1       ['relationship', 'NN']             : 1       
['anything', 'NN']                 : 1       ['update', 'NN']                   : 1       ['clustering', 'NN']               : 1       
['affects', 'VBZ']                 : 1       ['special', 'JJ']                  : 1       ['xml&w', 'NNP']                   : 1       
['applicable', 'JJ']               : 1       ['represented', 'NN']              : 1       ['access', 'VB']                   : 1       
['variables', 'NNS']               : 1       ['rigid', 'JJ']                    : 1       ['24', 'CD']                       : 1       
['disjoin', 'NNP']                 : 1       ['compares', 'VBZ']                : 1       ['full', 'JJ']                     : 1       
['chemistry.g1.c1', 'NN']          : 1       ['regulate', 'VB']                 : 1       ['t.', 'NNP']                      : 1       
['emotions', 'NNS']                : 1       ['almost', 'RB']                   : 1       ['subset', 'RB']                   : 1       
['ci', 'NNP']                      : 1       ['superclass', 'NNS']              : 1       ['realizing', 'VBG']               : 1       
['multiplication', 'NN']           : 1       ['include', 'VBP']                 : 1       ['feel', 'VB']                     : 1       
['trace', 'VB']                    : 1       ['publisher', 'NN']                : 1       ['obeyed', 'VBN']                  : 1       
['bookshelfs', 'NNS']              : 1       ['detailed', 'JJ']                 : 1       ['presented', 'VBN']               : 1       
['graph', 'NN']                    : 1       ['learning', 'VBG']                : 1       ['virtually', 'RB']                : 1       
['axes', 'NN']                     : 1       ['and', 'NNS']                     : 1       ['scenario', 'NN']                 : 1       
['discovering', 'VBG']             : 1       ['conference', 'NN']               : 1       ['micro', 'JJ']                    : 1       
['e.g.', 'VBG']                    : 1       ['32', 'CD']                       : 1       ['values', 'VBZ']                  : 1       
['xml', 'JJ']                      : 1       ['let', 'IN']                      : 1       ['cooperate', 'VB']                : 1       
['compared', 'VBN']                : 1       ['positioning', 'NN']              : 1       ['necessary', 'JJ']                : 1       
['evaluation', 'NNP']              : 1       ['select', 'JJ']                   : 1       ['3-star', 'JJ']                   : 1       
['outline', 'VB']                  : 1       ['clusters', 'NNS']                : 1       ['uniquely', 'RB']                 : 1       
['sets', 'NNS']                    : 1       ['manages', 'VBZ']                 : 1       ['limited', 'VBN']                 : 1       
['publications', 'NNS']            : 1       ['nodes', 'NNS']                   : 1       ['ebdata', 'NNP']                  : 1       
['programming', 'VBG']             : 1       ['store', 'VBP']                   : 1       ['definition', 'NNP']              : 1       
['correctly', 'RB']                : 1       ['understand', 'VB']               : 1       ['recommendations', 'NNS']         : 1       
['proof', 'NN']                    : 1       ['locating', 'VBG']                : 1       ['c1', 'JJ']                       : 1       
['human', 'NNP']                   : 1       ['cooperate', 'VBP']               : 1       ['facet', 'VBP']                   : 1       
['depending', 'VBG']               : 1       ['comparison', 'NN']               : 1       ['closely', 'RB']                  : 1       
['b1', 'NNS']                      : 1       ['approached', 'VBN']              : 1       ['innate', 'JJ']                   : 1       
['caused', 'VBN']                  : 1       ['detected', 'VBN']                : 1       ['xi', 'JJ']                       : 1       
['effects', 'NNS']                 : 1       ['element', 'NN']                  : 1       ['step', 'NN']                     : 1       
['extensible', 'CD']               : 1       ['spaces', 'NNP']                  : 1       ['supporting', 'VBG']              : 1       
['lack', 'VBP']                    : 1       ['implement', 'VB']                : 1       ['universal', 'JJ']                : 1       
['use', 'VBP']                     : 1       ['indian', 'NNP']                  : 1       ['have', 'JJ']                     : 1       
['unifying', 'VBG']                : 1       ['extent', 'NN']                   : 1       ['change', 'NN']                   : 1       
