f0003:

W_Fdic:
the                 : 1381    and                 : 886     of                  : 530     space               : 482     
['all', 'DT']                      : 10      ['number', 'NN']                   : 10      ['applications', 'NNS']            : 10      
['abstraction', 'NN']              : 10      ['motion', 'NN']                   : 10      ['appropriate', 'JJ']              : 10      
['mechanism', 'NN']                : 10      ['sense', 'NN']                    : 10      ['does', 'VBZ']                    : 10      
['generation', 'NN']               : 10      ['times', 'NNS']                   : 10      ['use', 'NN']                      : 10      
['level', 'NN']                    : 9       ['reflecting', 'VBG']              : 9       ['depicts', 'VBZ']                 : 9       
['adding', 'VBG']                  : 9       ['effective', 'JJ']                : 9       ['computing', 'NN']                : 9       
['only', 'JJ']                     : 9       ['links', 'VBZ']                   : 9       ['were', 'VBD']                    : 9       
['harmonious', 'JJ']               : 9       ['because', 'IN']                  : 9       ['patterns', 'NNS']                : 9       
['sn', 'NNP']                      : 9       ['formation', 'NN']                : 9       ['distance', 'NN']                 : 9       
['requirements', 'NNS']            : 9       ['just', 'RB']                     : 9       ['potential', 'JJ']                : 9       
['even', 'RB']                     : 9       ['kind', 'NN']                     : 9       ['many', 'JJ']                     : 9       
['computing', 'VBG']               : 9       ['if', 'IN']                       : 9       ['higher', 'JJR']                  : 8       
['link', 'VBP']                    : 8       ['object', 'NN']                   : 8       ['functions', 'NNS']               : 8       
['event', 'NN']                    : 8       ['them', 'PRP']                    : 8       ['representation', 'NN']           : 8       
['theory', 'NN']                   : 8       ['lead', 'VB']                     : 8       ['due', 'JJ']                      : 8       
['ideal', 'NN']                    : 8       ['establish', 'VB']                : 8       ['changed', 'VBN']                 : 8       
['-rsb-', 'JJ']                    : 8       ['scientific', 'JJ']               : 8       ['intelligent', 'JJ']              : 8       
['pass', 'VB']                     : 8       ['commonsense', 'NN']              : 8       ['proposed', 'VBN']                : 8       
['diversity', 'NN']                : 8       ['lens', 'NN']                     : 8       ['interaction', 'NNP']             : 8       
['that', 'DT']                     : 8       ['includes', 'VBZ']                : 8       ['design', 'NN']                   : 8       
['behavior', 'NN']                 : 8       ['methodology', 'NN']              : 8       ['given', 'VBN']                   : 8       
['raise', 'VB']                    : 8       ['sensing', 'VBG']                 : 8       ['made', 'VBN']                    : 8       
['reflect', 'VBP']                 : 8       ['behaving', 'VBG']                : 8       ['a2', 'NNP']                      : 8       
['concept', 'NN']                  : 8       ['interacting', 'VBG']             : 8       ['thoughts', 'NNS']                : 8       
['harmony', 'NN']                  : 8       ['individual', 'NN']               : 8       ['needs', 'VBZ']                   : 8       
['instances', 'NNS']               : 8       ['evolves', 'VBZ']                 : 8       ['scientists', 'NNS']              : 7       
['processing', 'NN']               : 7       ['limited', 'VBN']                 : 7       ['socio', 'NNP']                   : 7       
['indicates', 'VBZ']               : 7       ['although', 'IN']                 : 7       ['rule', 'NN']                     : 7       
['ideas', 'NNS']                   : 7       ['culture', 'NN']                  : 7       ['approach', 'NN']                 : 7       
['indirect', 'JJ']                 : 7       ['data', 'NNS']                    : 7       ['could', 'MD']                    : 7       
['models', 'NNS']                  : 7       ['a1', 'NNP']                      : 7       ['health', 'NN']                   : 7       
['scales', 'NNS']                  : 7       ['fundamental', 'JJ']              : 7       ['similar', 'JJ']                  : 7       
['called', 'VBD']                  : 7       ['closed', 'JJ']                   : 7       ['words', 'NNS']                   : 7       
['different', 'VBG']               : 7       ['created', 'VBN']                 : 7       ['diverse', 'JJ']                  : 7       
['concern', 'VB']                  : 7       ['existing', 'VBG']                : 7       ['others', 'NNS']                  : 7       
['develop', 'VB']                  : 7       ['you', 'PRP']                     : 7       ['single', 'JJ']                   : 7       
['hyperlink', 'NN']                : 7       ['memex', 'NN']                    : 7       ['philosophical', 'JJ']            : 7       
['schema', 'NN']                   : 7       ['influence', 'VBP']               : 7       ['whole', 'JJ']                    : 7       
['provide', 'VB']                  : 7       ['understanding', 'NN']            : 7       ['including', 'VBG']               : 7       
['documents', 'NNS']               : 7       ['signals', 'NNS']                 : 7       ['question', 'NN']                 : 7       
['fig.', 'CD']                     : 7       ['cyber', 'JJ']                    : 7       ['location', 'NN']                 : 7       
['first', 'JJ']                    : 7       ['approaches', 'NNS']              : 7       ['symmetry', 'NN']                 : 7       
['controlling', 'VBG']             : 6       ['beings', 'NNS']                  : 6       ['emerge', 'VBP']                  : 6       
['texts', 'NNS']                   : 6       ['cyber-physical', 'JJ']           : 6       ['improving', 'VBG']               : 6       
['derived', 'VBN']                 : 6       ['use', 'VB']                      : 6       ['self-similarity', 'NN']          : 6       
['should', 'MD']                   : 6       ['human', 'NNP']                   : 6       ['competition', 'NN']              : 6       
['disciplines', 'NNS']             : 6       ['friend', 'NN']                   : 6       ['determined', 'VBN']              : 6       
['representations', 'NNS']         : 6       ['support', 'VBP']                 : 6       ['principle', 'NN']                : 6       
['emerges', 'VBZ']                 : 6       ['understanding', 'VBG']           : 6       ['interacts', 'VBZ']               : 6       
['exploring', 'VBG']               : 6       ['related', 'VBN']                 : 6       ['well-being', 'NN']               : 6       
['-lsb-', 'JJ']                    : 6       ['hierarchy', 'NN']                : 6       ['versatile', 'JJ']                : 6       
['modeling', 'NN']                 : 6       ['way', 'NN']                      : 6       ['composition', 'NN']              : 6       
['sln', 'NN']                      : 6       ['indicating', 'VBG']              : 6       ['control', 'NN']                  : 6       
['fig', 'VB']                      : 6       ['schemas', 'NNS']                 : 6       ['do', 'VBP']                      : 6       
['nature', 'NN']                   : 6       ['usually', 'RB']                  : 6       ['get', 'VB']                      : 6       
['line', 'NN']                     : 6       ['there', 'EX']                    : 6       ['real', 'JJ']                     : 6       
['extend', 'VB']                   : 6       ['bc', 'NNP']                      : 6       ['personal', 'JJ']                 : 6       
['generate', 'VB']                 : 6       ['statuses', 'NNS']                : 6       ['difference', 'NN']               : 6       
['typed', 'JJ']                    : 6       ['defined', 'VBN']                 : 6       ['both', 'DT']                     : 6       
['idea', 'NN']                     : 6       ['person', 'NN']                   : 6       ['integrating', 'VBG']             : 6       
['87', 'CD']                       : 6       ['solve', 'VB']                    : 6       ['specific', 'JJ']                 : 6       
['relational', 'JJ']               : 6       ['food', 'NN']                     : 6       ['zooming', 'VBG']                 : 5       
['rdf', 'NNP']                     : 5       ['-lsb-', 'NNS']                   : 5       ['data', 'NN']                     : 5       
['extended', 'VBN']                : 5       ['co-experiencing', 'NN']          : 5       ['explicit', 'JJ']                 : 5       
['cyber', 'NNP']                   : 5       ['basis', 'NN']                    : 5       ['existence', 'NN']                : 5       
['economic', 'JJ']                 : 5       ['consensus', 'NN']                : 5       ['necessary', 'JJ']                : 5       
['clusters', 'NNS']                : 5       ['available', 'JJ']                : 5       ['computer', 'NN']                 : 5       
['aspects', 'NNS']                 : 5       ['reasoning', 'VBG']               : 5       ['detected', 'VBN']                : 5       
['extent', 'NN']                   : 5       ['challenge', 'NN']                : 5       ['motivation', 'NN']               : 5       
['mapping', 'NN']                  : 5       ['actively', 'RB']                 : 5       ['semantic', 'NN']                 : 5       
['distances', 'NNS']               : 5       ['derive', 'VB']                   : 5       ['significant', 'JJ']              : 5       
['science', 'NN']                  : 5       ['situations', 'NNS']              : 5       ['generated', 'VBN']               : 5       
['measured', 'VBN']                : 5       ['movement', 'NN']                 : 5       ['learning', 'NN']                 : 5       
['units', 'NNS']                   : 5       ['object-oriented', 'JJ']          : 5       ['change', 'VB']                   : 5       
['mappings', 'NNS']                : 5       ["''", "''"]                       : 5       ['large', 'JJ']                    : 5       
['production', 'NN']               : 5       ['organize', 'VB']                 : 5       ['developing', 'VBG']              : 5       
['interface', 'NN']                : 5       ['oomd', 'NNP']                    : 5       ['areas', 'NNS']                   : 5       
['dynamicity', 'NN']               : 5       ['meaning', 'NN']                  : 5       ['model', 'VB']                    : 5       
['themselves', 'PRP']              : 5       ['technologies', 'NNS']            : 5       ['ecological', 'JJ']               : 5       
['layers', 'NNS']                  : 5       ['creation', 'NN']                 : 5       ['-rcb-', '-RRB-']                 : 5       
['efforts', 'NNS']                 : 5       ['changes', 'NNS']                 : 5       ['removing', 'VBG']                : 5       
['students', 'NNS']                : 5       ['cooperation', 'NN']              : 5       ['result', 'NN']                   : 5       
['paintings', 'NNS']               : 5       ['takes', 'VBZ']                   : 5       ['no', 'DT']                       : 5       
['issue', 'NN']                    : 5       ['channels', 'NNS']                : 5       ['worldview', 'NN']                : 5       
['domain', 'NN']                   : 5       ['study', 'NN']                    : 5       ['pages', 'NNS']                   : 5       
['add', 'VB']                      : 5       ['database', 'NN']                 : 5       ['little', 'JJ']                   : 5       
['triangle', 'NN']                 : 5       ['area', 'NN']                     : 5       ['em', 'NNP']                      : 5       
['values', 'NNS']                  : 5       ['search', 'NN']                   : 5       ['82', 'CD']                       : 5       
['-lcb-', '-LRB-']                 : 5       ['problem', 'NN']                  : 5       ['external', 'JJ']                 : 5       
['cooperate', 'VB']                : 5       ['traditional', 'JJ']              : 5       ['forming', 'VBG']                 : 5       
['tea', 'NN']                      : 5       ['realize', 'VB']                  : 5       ['direct', 'JJ']                   : 5       
['priority', 'NN']                 : 5       ['construction', 'NN']             : 5       ['future', 'JJ']                   : 5       
['mental', 'NNP']                  : 5       ['output', 'NN']                   : 5       ['we', 'PRP']                      : 4       
['discover', 'VB']                 : 4       ['transformation', 'NN']           : 4       ['subspaces', 'NNS']               : 4       
['value', 'NN']                    : 4       ['classifying', 'VBG']             : 4       ['uses', 'VBZ']                    : 4       
['role', 'NN']                     : 4       ['devices', 'NNS']                 : 4       ['rich', 'JJ']                     : 4       
['denoted', 'VBN']                 : 4       ['phenomena', 'NNS']               : 4       ['include', 'VBP']                 : 4       
['facilitate', 'VB']               : 4       ['whether', 'IN']                  : 4       ['automatically', 'RB']            : 4       
['global', 'JJ']                   : 4       ['arrows', 'NNS']                  : 4       ['problems', 'NNS']                : 4       
['understand', 'VB']               : 4       ['co-experiencing', 'VBG']         : 4       ['proposed', 'VBD']                : 4       
['suggested', 'VBN']               : 4       ['analysis', 'NN']                 : 4       ['belongs', 'VBZ']                 : 4       
['sensed', 'VBN']                  : 4       ['supporting', 'VBG']              : 4       ['cognition', 'NN']                : 4       
['relies', 'VBZ']                  : 4       ['structures', 'NNS']              : 4       ['operate', 'VB']                  : 4       
['teacher', 'NN']                  : 4       ['ai', 'NNP']                      : 4       ['establishing', 'VBG']            : 4       
['early', 'JJ']                    : 4       ['action', 'NN']                   : 4       ['established', 'VBN']             : 4       
['professor', 'NN']                : 4       ['contain', 'VB']                  : 4       ['probability', 'NN']              : 4       
['experiences', 'NNS']             : 4       ['related', 'JJ']                  : 4       ['web/internet', 'NNP']            : 4       
['human', 'NN']                    : 4       ['document', 'NN']                 : 4       ['constraints', 'NNS']             : 4       
['results', 'NNS']                 : 4       ['features', 'NNS']                : 4       ['live', 'VB']                     : 4       
['methods', 'NNS']                 : 4       ['belong', 'VBP']                  : 4       ['efficiency', 'NN']               : 4       
['ask', 'VB']                      : 4       ['cooperatively', 'RB']            : 4       ['word', 'NN']                     : 4       
['simple', 'JJ']                   : 4       ['expansion', 'NN']                : 4       ['performance', 'NN']              : 4       
['behave', 'VB']                   : 4       ['linking', 'NNS']                 : 4       ['great', 'JJ']                    : 4       
['2010', 'CD']                     : 4       ['include', 'VB']                  : 4       ['added', 'VBN']                   : 4       
['tree', 'NN']                     : 4       ['navigation', 'NN']               : 4       ['hyperlinks', 'NNS']              : 4       
['orders', 'NNS']                  : 4       ['sustainable', 'JJ']              : 4       ['three', 'CD']                    : 4       
['actuators', 'NNS']               : 4       ['facets', 'NNS']                  : 4       ['evaluation', 'NN']               : 4       
['security', 'NN']                 : 4       ['-lsb-', 'NN']                    : 4       ['turing', 'NNP']                  : 4       
['uniformity', 'NN']               : 4       ['studying', 'VBG']                : 4       ['artificial', 'JJ']               : 4       
['shows', 'VBZ']                   : 4       ['large-scale', 'JJ']              : 4       ['studied', 'VBN']                 : 4       
['general', 'JJ']                  : 4       ['categories', 'NNS']              : 4       ['loop', 'NN']                     : 4       
['effectiveness', 'NN']            : 4       ['path', 'NN']                     : 4       ['live', 'VBP']                    : 4       
['organs', 'NNS']                  : 4       ['formed', 'VBN']                  : 4       ['buildings', 'NNS']               : 4       
['richer', 'JJR']                  : 4       ['link', 'NNP']                    : 4       ['explore', 'VB']                  : 4       
['13', 'CD']                       : 4       ['rely', 'VBP']                    : 4       ['uniform', 'JJ']                  : 4       
['population', 'NN']               : 4       ['long', 'JJ']                     : 4       ['ensure', 'VB']                   : 4       
['architecture', 'NN']             : 4       ['efficiently', 'RB']              : 4       ['harmoniously', 'RB']             : 4       
['description', 'NN']              : 4       ['introduced', 'VBN']              : 4       ['ideal', 'JJ']                    : 4       
['interests', 'NNS']               : 4       ['multi-disciplinary', 'JJ']       : 4       ['reflected', 'VBN']               : 4       
['networking', 'NN']               : 4       ['evolving', 'JJ']                 : 4       ['peer-to-peer', 'JJ']             : 4       
['influence', 'NNP']               : 4       ['network', 'NNP']                 : 4       ['op2', 'NNS']                     : 4       
['healthy', 'JJ']                  : 4       ['several', 'JJ']                  : 4       ['thing', 'NN']                    : 4       
['organized', 'VBN']               : 4       ['indicators', 'NNS']              : 4       ['easily', 'RB']                   : 4       
['graph-based', 'JJ']              : 4       ['answering', 'NN']                : 4       ['a3', 'NNP']                      : 4       
['part', 'NN']                     : 4       ['learning', 'VBG']                : 4       ['short-term', 'JJ']               : 4       
['peers', 'NNS']                   : 4       ['indicated', 'VBN']               : 4       ['77', 'CD']                       : 4       
['learn', 'VB']                    : 4       ['capacity', 'NN']                 : 4       ['interconnection', 'NN']          : 4       
['cultural', 'JJ']                 : 4       ['page', 'NN']                     : 4       ['software', 'NN']                 : 4       
['follow', 'VBP']                  : 4       ['pre-designed', 'JJ']             : 4       ['paper', 'NN']                    : 4       
['memory', 'NN']                   : 4       ['dynamic', 'JJ']                  : 4       ['innovation', 'NN']               : 4       
['depends', 'VBZ']                 : 4       ['-rsb-', 'NN']                    : 4       ['vision', 'NN']                   : 4       
['toward', 'IN']                   : 4       ['user', 'NN']                     : 4       ['robots', 'NNS']                  : 4       
['pj', 'NN']                       : 3       ['15', 'CD']                       : 3       ['environment', 'NNP']             : 3       
['together', 'RB']                 : 3       ['cyber-physical-socio', 'VB']     : 3       ['project', 'NN']                  : 3       
['explained', 'VBN']               : 3       ['hard', 'JJ']                     : 3       ['work', 'NN']                     : 3       
['describe', 'VB']                 : 3       ['transformed', 'VBN']             : 3       ['scale', 'NN']                    : 3       
['places', 'NNS']                  : 3       ['facial', 'JJ']                   : 3       ['op1', 'NNS']                     : 3       
['define', 'VB']                   : 3       ['author', 'NN']                   : 3       ['regulate', 'VB']                 : 3       
['past', 'NN']                     : 3       ['regarding', 'VBG']               : 3       ['multiplication', 'NN']           : 3       
['base', 'NN']                     : 3       ['co-experience', 'VB']            : 3       ['notion', 'NN']                   : 3       
['improve', 'VB']                  : 3       ['micro', 'JJ']                    : 3       ['read', 'VB']                     : 3       
['satisfied', 'JJ']                : 3       ['especially', 'RB']               : 3       ['11', 'CD']                       : 3       
['accompanying', 'VBG']            : 3       ['render', 'VB']                   : 3       ['mainly', 'RB']                   : 3       
['47', 'CD']                       : 3       ['climate', 'NN']                  : 3       ['retrieval', 'NN']                : 3       
['organizing', 'VBG']              : 3       ['hold', 'VB']                     : 3       ['use', 'VBP']                     : 3       
['inheritance', 'NN']              : 3       ['assigning', 'VBG']               : 3       ['corpus', 'NN']                   : 3       
['collaboration', 'NN']            : 3       ['differences', 'NNS']             : 3       ['much', 'JJ']                     : 3       
['51', 'CD']                       : 3       ['select', 'VB']                   : 3       ['establishes', 'VBZ']             : 3       
['construct', 'VB']                : 3       ['inductive', 'JJ']                : 3       ['need', 'VBP']                    : 3       
['connect', 'VB']                  : 3       ['bridges', 'NNS']                 : 3       ['stage', 'NN']                    : 3       
['leads', 'VBZ']                   : 3       ['beyond', 'IN']                   : 3       ['best', 'JJS']                    : 3       
['respective', 'JJ']               : 3       ['81', 'CD']                       : 3       ['reading', 'VBG']                 : 3       
['reason', 'NN']                   : 3       ['four', 'CD']                     : 3       ['dimensions', 'NNS']              : 3       
['addition', 'NN']                 : 3       ['14', 'CD']                       : 3       ['making', 'VBG']                  : 3       
['window', 'NN']                   : 3       ['shown', 'VBN']                   : 3       ['indicate', 'VBP']                : 3       
['philosophy', 'NN']               : 3       ['generates', 'VBZ']               : 3       ['his/her', 'NN']                  : 3       
['research', 'NNP']                : 3       ['collect', 'VB']                  : 3       ['decentralized', 'JJ']            : 3       
['statistical', 'JJ']              : 3       ['mind', 'NNP']                    : 3       ['analyzing', 'VBG']               : 3       
['aims', 'VBZ']                    : 3       ['flows', 'VBZ']                   : 3       ['adapted', 'VBN']                 : 3       
['back', 'RP']                     : 3       ['continually', 'RB']              : 3       ['constitute', 'VBP']              : 3       
['ways', 'NNS']                    : 3       ['roles', 'NNS']                   : 3       ['find', 'VB']                     : 3       
['facilitates', 'VBZ']             : 3       ['regarded', 'VBD']                : 3       ['carrying', 'VBG']                : 3       
['fed', 'VBN']                     : 3       ['scopes', 'NNS']                  : 3       ['his', 'PRP$']                    : 3       
['enhance', 'VB']                  : 3       ['op3', 'NNS']                     : 3       ['active', 'JJ']                   : 3       
['pronomes', 'NNS']                : 3       ['experiencing', 'VBG']            : 3       ['isolated', 'VBN']                : 3       
['presence', 'NN']                 : 3       ['prototype', 'NN']                : 3       ['hyperlink', 'NNP']               : 3       
['browse', 'VB']                   : 3       ['associate', 'JJ']                : 3       ['able', 'JJ']                     : 3       
['helps', 'VBZ']                   : 3       ['online', 'JJ']                   : 3       ['low', 'JJ']                      : 3       
['linking', 'JJ']                  : 3       ['sense', 'VB']                    : 3       ['internal', 'JJ']                 : 3       
['friendship', 'NN']               : 3       ['semantics', 'JJ']                : 3       ['communication', 'NN']            : 3       
['dependence', 'NN']               : 3       ['nearby', 'JJ']                   : 3       ['co-experience', 'NN']            : 3       
['over', 'IN']                     : 3       ['generate', 'VBP']                : 3       ['linking', 'NN']                  : 3       
['delete', 'VB']                   : 3       ['future', 'NN']                   : 3       ['extension', 'NN']                : 3       
['structured', 'JJ']               : 3       ['turing', 'VBG']                  : 3       ['adaptive', 'JJ']                 : 3       
['contents', 'NNS']                : 3       ['application', 'NN']              : 3       ['major', 'JJ']                    : 3       
['directly', 'RB']                 : 3       ['op3', 'NNP']                     : 3       ['reasonable', 'JJ']               : 3       
['bush', 'NNP']                    : 3       ['transforming', 'VBG']            : 3       ['so', 'IN']                       : 3       
['input', 'NN']                    : 3       ['techniques', 'NNS']              : 3       ['mapping', 'VBG']                 : 3       
['essence', 'NN']                  : 3       ['express', 'VB']                  : 3       ['stored', 'VBN']                  : 3       
['digital', 'JJ']                  : 3       ['corresponding', 'JJ']            : 3       ['coordination', 'NN']             : 3       
['co-computing', 'JJ']             : 3       ['analogical', 'JJ']               : 3       ['feel', 'VB']                     : 3       
['requirement', 'NN']              : 3       ['viewed', 'VBN']                  : 3       ['conceptual', 'JJ']               : 3       
['perception', 'NN']               : 3       ['order', 'NN']                    : 3       ['emphasized', 'VBD']              : 3       
['cause', 'NN']                    : 3       ['sciences', 'NNS']                : 3       ['emphasizes', 'VBZ']              : 3       
['translation', 'NN']              : 3       ['still', 'RB']                    : 3       ['concern', 'NN']                  : 3       
['pi', 'NN']                       : 3       ['opinion', 'NN']                  : 3       ['mutual', 'JJ']                   : 3       
['place', 'NN']                    : 3       ['found', 'VBN']                   : 3       ['developed', 'VBN']               : 3       
['long-term', 'JJ']                : 3       ['view', 'NN']                     : 3       ['virtual', 'JJ']                  : 3       
['high', 'JJ']                     : 3       ['transmit', 'VB']                 : 3       ['home', 'NN']                     : 3       
['interact', 'NN']                 : 3       ['cycles', 'NNS']                  : 3       ['past', 'JJ']                     : 3       
['family', 'NN']                   : 3       ['topics', 'NNS']                  : 3       ['minsky', 'NNP']                  : 3       
['state', 'NN']                    : 3       ['further', 'RBR']                 : 3       ['op1', 'NNP']                     : 3       
['classifications', 'NNS']         : 3       ['mobile', 'JJ']                   : 3       ['designers', 'NNS']               : 3       
['operating', 'VBG']               : 3       ['influencing', 'VBG']             : 3       ['special', 'JJ']                  : 3       
['sketch', 'NN']                   : 3       ['labeled', 'JJ']                  : 3       ['revolution', 'NN']               : 3       
['12', 'CD']                       : 3       ['effectively', 'RB']              : 3       ['on-demand', 'JJ']                : 3       
['preserved', 'VBN']               : 3       ['unit', 'NN']                     : 3       ['76', 'CD']                       : 3       
['effort', 'NN']                   : 3       ['80', 'CD']                       : 3       ['context', 'NN']                  : 3       
['accompany', 'VB']                : 3       ['decomposition', 'NN']            : 3       ['under', 'IN']                    : 3       
['query', 'NN']                    : 3       ['regions', 'NNS']                 : 3       ['destination', 'NN']              : 3       
['composing', 'VBG']               : 3       ['go', 'VB']                       : 3       ['abstract', 'JJ']                 : 3       
['motor', 'NN']                    : 3       ['self-organized', 'VBN']          : 3       ['concerns', 'NNS']                : 3       
['instance', 'NN']                 : 3       ['locating', 'VBG']                : 3       ['maintain', 'VB']                 : 3       
['shared', 'VBN']                  : 3       ['raised', 'VBN']                  : 3       ['thinking', 'NN']                 : 3       
['time', 'NNP']                    : 3       ['waste', 'NN']                    : 3       ['connected', 'VBN']               : 3       
['often', 'RB']                    : 3       ['particular', 'JJ']               : 3       ['chains', 'NNS']                  : 2       
['transmitted', 'VBN']             : 2       ['roads', 'NNS']                   : 2       ['analyzed', 'VBN']                : 2       
['therefore', 'RB']                : 2       ['called', 'VBN']                  : 2       ['stretching', 'VBG']              : 2       
['modern', 'JJ']                   : 2       ['involved', 'VBN']                : 2       ['age', 'NN']                      : 2       
['record', 'VB']                   : 2       ['society', 'NNP']                 : 2       ['sensing', 'NN']                  : 2       
['common', 'JJ']                   : 2       ['passive', 'JJ']                  : 2       ['net', 'NN']                      : 2       
['pattern', 'NN']                  : 2       ['itself', 'PRP']                  : 2       ['invention', 'NN']                : 2       
['traces', 'NNS']                  : 2       ['locations', 'NNS']               : 2       ['open', 'JJ']                     : 2       
['after', 'IN']                    : 2       ['sensitive', 'JJ']                : 2       ['representing', 'VBG']            : 2       
['used', 'VBD']                    : 2       ['own', 'JJ']                      : 2       ['historical', 'JJ']               : 2       
['table', 'NN']                    : 2       ['cancelation', 'NN']              : 2       ['neighbor', 'NN']                 : 2       
['access', 'VB']                   : 2       ['parents', 'NNS']                 : 2       ['a4', 'NNP']                      : 2       
['cells', 'NNS']                   : 2       ['evolution', 'NNP']               : 2       ['apples', 'NNS']                  : 2       
['small', 'JJ']                    : 2       ['divorce', 'NN']                  : 2       ['background', 'NN']               : 2       
['coordinates', 'VBZ']             : 2       ['simultaneously', 'RB']           : 2       ['worlds', 'NNS']                  : 2       
['possible', 'JJ']                 : 2       ['means', 'VBZ']                   : 2       ['gray', 'NNP']                    : 2       
['zoom-out', 'NN']                 : 2       ['graph', 'NN']                    : 2       ['final', 'JJ']                    : 2       
['children', 'NNS']                : 2       ['present', 'NN']                  : 2       ['meters', 'NNS']                  : 2       
['human-machine', 'JJ']            : 2       ['e.g.', 'VBG']                    : 2       ['publication', 'NN']              : 2       
['represented', 'VBN']             : 2       ['creates', 'VBZ']                 : 2       ['specialized', 'VBN']             : 2       
['overall', 'JJ']                  : 2       ['agent', 'NN']                    : 2       ['mathematical', 'JJ']             : 2       
['psychology', 'NN']               : 2       ['windows', 'NNS']                 : 2       ['road', 'NN']                     : 2       
['resource', 'NN']                 : 2       ['adapt', 'VB']                    : 2       ['preference', 'NN']               : 2       
['story', 'NN']                    : 2       ['recommendation', 'NN']           : 2       ['socrates', 'NNP']                : 2       
['total', 'JJ']                    : 2       ['distinguished', 'JJ']            : 2       ['cases', 'NNS']                   : 2       
['remembering', 'VBG']             : 2       ['query', 'JJ']                    : 2       ['sense', 'VBP']                   : 2       
['establishment', 'NN']            : 2       ['node', 'JJ']                     : 2       ['process', 'VB']                  : 2       
['perspective', 'NN']              : 2       ['universal', 'JJ']                : 2       ['display', 'NN']                  : 2       
['right', 'JJ']                    : 2       ['measures', 'NNS']                : 2       ['wikipedia', 'NNP']               : 2       
['29', 'CD']                       : 2       ['nutrition', 'NN']                : 2       ['health', 'NNP']                  : 2       
['sustainability', 'NN']           : 2       ['evaluated', 'VBN']               : 2       ['recommend', 'VB']                : 2       
['airplanes', 'NNS']               : 2       ['reasons', 'NNS']                 : 2       ['sharing', 'NN']                  : 2       
['along', 'RP']                    : 2       ['cause-effect', 'NN']             : 2       ['sub-healthy', 'JJ']              : 2       
['authors', 'NNS']                 : 2       ['alter', 'VB']                    : 2       ['mapping', 'NNP']                 : 2       
['enriched', 'VBN']                : 2       ['enemy', 'NN']                    : 2       ['co-experience', 'VBP']           : 2       
['new', 'NNP']                     : 2       ['wide', 'NNP']                    : 2       ['instantiating', 'VBG']           : 2       
['laozi', 'NNP']                   : 2       ['coordinate', 'VB']               : 2       ['cluster', 'NN']                  : 2       
['efficient', 'JJ']                : 2       ['such', 'PDT']                    : 2       ['contrast', 'NN']                 : 2       
['contains', 'VBZ']                : 2       ['recognizing', 'VBG']             : 2       ['implies', 'VBZ']                 : 2       
['decisions', 'NNS']               : 2       ['ranks', 'NNS']                   : 2       ['breakthrough', 'NN']             : 2       
['model', 'NNP']                   : 2       ['falling', 'VBG']                 : 2       ['influences', 'VBZ']              : 2       
['like', 'JJ']                     : 2       ['good', 'JJ']                     : 2       ['slns', 'NNS']                    : 2       
['started', 'VBN']                 : 2       ['believed', 'VBD']                : 2       ['sub-schema', 'NN']               : 2       
['cortex', 'NN']                   : 2       ['advanced', 'VBN']                : 2       ['larger', 'JJR']                  : 2       
['interest', 'NN']                 : 2       ['multi-space', 'JJ']              : 2       ['set', 'VBN']                     : 2       
['unknown', 'JJ']                  : 2       ['force', 'NN']                    : 2       ['gravity', 'NN']                  : 2       
['one', 'NN']                      : 2       ['enough', 'JJ']                   : 2       ['grid', 'NN']                     : 2       
['co-location', 'NN']              : 2       ['ontology', 'JJ']                 : 2       ['statements', 'NNS']              : 2       
['transform', 'VB']                : 2       ['connect', 'VBP']                 : 2       ['achieve', 'VB']                  : 2       
['daily', 'JJ']                    : 2       ['communicating', 'VBG']           : 2       ['turing', 'NN']                   : 2       
['files', 'NNS']                   : 2       ['grounded', 'JJ']                 : 2       ['brings', 'VBZ']                  : 2       
['audio', 'NN']                    : 2       ['reading', 'NNP']                 : 2       ['physics', 'NN']                  : 2       
['hierarchies', 'NNS']             : 2       ['literary', 'JJ']                 : 2       ['portion', 'NN']                  : 2       
['answer', 'NN']                   : 2       ['satisfactory', 'JJ']             : 2       ['denote', 'VBP']                  : 2       
['extending', 'VBG']               : 2       ['ontology', 'NN']                 : 2       ['produce', 'VBP']                 : 2       
['emerging', 'VB']                 : 2       ['inherited', 'VBN']               : 2       ['cycle', 'NN']                    : 2       
['imagine', 'VB']                  : 2       ['intentions', 'NNS']              : 2       ['ni', 'NN']                       : 2       
['crops', 'NNS']                   : 2       ['change', 'VBP']                  : 2       ['write', 'VB']                    : 2       
['firstly', 'RB']                  : 2       ['described', 'VBD']               : 2       ['unhealthy', 'JJ']                : 2       
['student', 'NN']                  : 2       ['argued', 'VBD']                  : 2       ['phenomenon', 'NN']               : 2       
['privacy', 'NN']                  : 2       ['box', 'NN']                      : 2       ['proposes', 'VBZ']                : 2       
['importance', 'NN']               : 2       ['temporal', 'JJ']                 : 2       ['trees', 'NNS']                   : 2       
['classified', 'VBN']              : 2       ['public', 'JJ']                   : 2       ['viewer', 'NN']                   : 2       
['linguistic', 'JJ']               : 2       ['tends', 'VBZ']                   : 2       ['86', 'CD']                       : 2       
['conscious', 'JJ']                : 2       ['att', 'NN']                      : 2       ['zoom-out', 'JJ']                 : 2       
['energy', 'NNP']                  : 2       ['us', 'PRP']                      : 2       ['sensed', 'JJ']                   : 2       
