f0005:

W_Fdic:
the                 : 1154    and                 : 822     of                  : 663     to                  : 448     
hierarchies         : 1       grows               : 1       opportunity         : 1       simulates           : 1       
narrow              : 1       1976                : 1       1975                : 1       inherit             : 1       
1970                : 1       unsuitable          : 1       investments         : 1       non-trivial         : 1       
unemployment        : 1       assigned            : 1       had                 : 1       passive             : 1       
graedel             : 1       collections         : 1       massively           : 1       fusion              : 1       
birth               : 1       desire              : 1       psychological       : 1       misled              : 1       
common-purpose      : 1       human-to-machine    : 1       facets              : 1       dean                : 1       
trained             : 1       born                : 1       statistic           : 1       short-term          : 1       
socio-technical     : 1       everything          : 1       participation       : 1       mechanizes          : 1       
statistician        : 1       gartner             : 1       costs               : 1       misleading          : 1       
unformulated        : 1       raised              : 1       motivate            : 1       locator             : 1       
1990s               : 1       reducing            : 1       categorization      : 1       abstractions        : 1       
fcm                 : 1       anderson            : 1       symphony            : 1       armbrust            : 1       
synthesis           : 1       questionable        : 1       medium              : 1       offering            : 1       
offer               : 1       simplifications     : 1       failure             : 1       solar               : 1       
streaming           : 1       prevents            : 1       model-driven        : 1       document-to-document: 1       
proven              : 1       drive               : 1       problem-oriented    : 1       holding             : 1       
developers          : 1       picture             : 1       discharge           : 1       billion             : 1       
n1                  : 1       n2                  : 1       reviewers           : 1       roy                 : 1       
displaying          : 1       1948                : 1       depend              : 1       condition-action    : 1       
graph               : 1       1944                : 1       prolonging          : 1       analogous           : 1       
advantage           : 1       k.j.holyoak         : 1       emphasizes          : 1       unfamiliar          : 1       
cook                : 1       exact               : 1       presented           : 1       proposals           : 1       
item                : 1       community-infrastructure: 1       upper               : 1       thinkers            : 1       
cyber-infrastructures: 1       dealing             : 1       unrepresented       : 1       shares              : 1       
uniform             : 1       sequential          : 1       goes                : 1       falling             : 1       
rationalizes        : 1       satisfy             : 1       upgrade             : 1       institute           : 1       
studied             : 1       spheres             : 1       resonance           : 1       conveniently        : 1       
genuinely           : 1       emerge              : 1       inference           : 1       perspectives        : 1       
flexibility         : 1       logically           : 1       reinvention         : 1       positive            : 1       
outputs             : 1       minsky              : 1       capturing           : 1       organizations       : 1       
harmonious          : 1       renders             : 1       petabytes           : 1       expanding           : 1       
agent               : 1       meta-model          : 1       coincident          : 1       heckerman           : 1       
dennis              : 1       pre-defined         : 1       write               : 1       divides             : 1       
explores            : 1       smoot               : 1       cradle-to-cradle    : 1       journals            : 1       
stability           : 1       experiments         : 1       equip               : 1       observational       : 1       
interesting         : 1       jim                 : 1       www.w3.org/tr/rdf-sparql-query/: 1       happened            : 1       
halt                : 1       unveiling           : 1       records             : 1       1950                : 1       
semiotics           : 1       1958                : 1       rendering           : 1       arrows              : 1       
realistic           : 1       rethinking          : 1       abnormal            : 1       reorganized         : 1       
predefined          : 1       algebra             : 1       emerged             : 1       inevitably          : 1       
semi-autonomous     : 1       reber               : 1       quits               : 1       inductive           : 1       
advance             : 1       derivation          : 1       curation            : 1       catalog             : 1       
turn                : 1       place               : 1       misused             : 1       fetched             : 1       
variables           : 1       symbolic            : 1       fmri                : 1       man-machine         : 1       
draft               : 1       cost-effective      : 1       cite                : 1       mostly              : 1       
continuous          : 1       proving             : 1       absorbs             : 1       11                  : 1       
13                  : 1       12                  : 1       15                  : 1       14                  : 1       
16                  : 1       require             : 1       inferring           : 1       locations           : 1       
subsystems          : 1       ideal               : 1       take                : 1       converged           : 1       
keeps               : 1       paid                : 1       donation            : 1       adaptability        : 1       
adopt               : 1       implications        : 1       sale                : 1       dispersed           : 1       
german              : 1       workshops           : 1       commitments         : 1       xml                 : 1       
slow                : 1       ratio               : 1       boyle               : 1       infallibly          : 1       
mechanization       : 1       summary             : 1       vision              : 1       lenzerini           : 1       
physically          : 1       arouses             : 1       connections         : 1       1921                : 1       
1928                : 1       review              : 1       representatives     : 1       forecast            : 1       
invokes             : 1       geometric           : 1       across              : 1       jobs                : 1       
originated          : 1       analyzer            : 1       analyzed            : 1       acquiring           : 1       
kosko               : 1       railway             : 1       cancer              : 1       keqiang             : 1       
considering         : 1       epistemology        : 1       analogies           : 1       shortening          : 1       
distinguishing      : 1       observers           : 1       bayesian            : 1       evidence            : 1       
irrelevant          : 1       case                : 1       n't                 : 1       www.w3.org/tr/owl-features/: 1       
ongoing             : 1       investigating       : 1       enriches            : 1       conferences         : 1       
eventually          : 1       soil                : 1       middle              : 1       regularity          : 1       
everyday            : 1       binary              : 1       revolutions         : 1       author              : 1       
intelligently       : 1       epistemological     : 1       http://www.w3.org/tr/html5/: 1       centuries           : 1       
running             : 1       braher              : 1       markup              : 1       extensible          : 1       
relied              : 1       actions             : 1       industry-leading    : 1       differentiation     : 1       
guides              : 1       heuristic           : 1       improvement         : 1       thoughts            : 1       
http://www.imscenter.net: 1       around              : 1       marcus              : 1       early               : 1       
traffic             : 1       aiming              : 1       suppliers           : 1       either              : 1       
specifies           : 1       bankruptcies        : 1       simulator           : 1       loosely             : 1       
shortcoming         : 1       co-constitution     : 1       organizing          : 1       gross               : 1       
symbiotic           : 1       refer               : 1       measuring           : 1       leadership          : 1       
computing.evolution : 1       sixty               : 1       central             : 1       origins             : 1       
wolf                : 1       deerwester          : 1       act                 : 1       road                : 1       
berger              : 1       einstein            : 1       mark                : 1       co-evolves          : 1       
weight              : 1       removing            : 1       lot                 : 1       assumes             : 1       
human-data          : 1       regard              : 1       co-occurrence       : 1       philosophers        : 1       
land                : 1       implies             : 1       fraud               : 1       vehicles            : 1       
videos              : 1       imagination         : 1       reliability         : 1       gruber              : 1       
again               : 1       assessing           : 1       completeness        : 1       4.0                 : 1       
green               : 1       wirth               : 1       psychology          : 1       impossibility       : 1       
mass                : 1       nelson              : 1       directory           : 1       strings             : 1       
forget              : 1       cooperative         : 1       follow              : 1       coauthor            : 1       
referring           : 1       removal             : 1       foster              : 1       preserved           : 1       
life-cycle          : 1       domain-specific     : 1       joined              : 1       intricately         : 1       
contexts            : 1       adjust              : 1       biological          : 1       workloads           : 1       
20th                : 1       ghemawat            : 1       cues                : 1       sun                 : 1       
sum                 : 1       overload            : 1       ,1969               : 1       subspaces           : 1       
learned             : 1       component           : 1       diapers             : 1       compose             : 1       
nature-inspired     : 1       provably            : 1       identifiable        : 1       allows              : 1       
prior               : 1       provable            : 1       via                 : 1       gick                : 1       
advocated           : 1       aptitude            : 1       conventional        : 1       takes               : 1       
bio-inspired        : 1       compensate          : 1       taken               : 1       initiated           : 1       
constructs          : 1       controlling         : 1       keeping             : 1       machine-data-machine: 1       
coalition           : 1       categorizing        : 1       paragraph           : 1       szalay              : 1       
states              : 1       minimum             : 1       axis                : 1       huge                : 1       
maps                : 1       transfers           : 1       http://www.google.org/flutrends/: 1       explains            : 1       
plans               : 1       communicating       : 1       orbits              : 1       action-centered     : 1       
coming              : 1       queries             : 1       lifecycle           : 1       brynjolfsson        : 1       
mislead             : 1       discussing          : 1       rayport             : 1       already             : 1       
brin                : 1       24                  : 1       controllable        : 1       26                  : 1       
rapidly             : 1       economists          : 1       entscheidungsproblem: 1       microscopic         : 1       
speech              : 1       fool                : 1       incompleteness      : 1       association         : 1       
fully               : 1       truths              : 1       philosophical       : 1       habits              : 1       
self-motivation     : 1       friendship          : 1       investigated        : 1       expect              : 1       
measurement         : 1       loops               : 1       event               : 1       co-constitute       : 1       
initiatives         : 1       missed              : 1       conceptualizing     : 1       publish             : 1       
causally            : 1       friday              : 1       temperature         : 1       benefits            : 1       
http://hadoop.apache.og: 1       neglected           : 1       probability         : 1       reflected           : 1       
preservation        : 1       neglects            : 1       miss                : 1       heads               : 1       
leverage            : 1       leading             : 1       construct           : 1       assumption          : 1       
statement           : 1       hundred             : 1       schema              : 1       shifted             : 1       
measurable          : 1       inventing           : 1       molecular           : 1       system-to-system    : 1       
determined          : 1       2020                : 1       risks               : 1       remembers           : 1       
deciding            : 1       higher-level        : 1       karl                : 1       outputting          : 1       
lie                 : 1       nights              : 1       depending           : 1       officers            : 1       
recognizing         : 1       analogs             : 1       towards             : 1       serve               : 1       
reach               : 1       accepting           : 1       extremely           : 1       salary              : 1       
unsupervised        : 1       coincides           : 1       unreasonable        : 1       phenomenon          : 1       
fine                : 1       factor              : 1       externalizes        : 1       observatory         : 1       
rest                : 1       him                 : 1       deductive           : 1       data-to-data        : 1       
activity            : 1       close               : 1       deploying           : 1       gravitation         : 1       
threats             : 1       pictures            : 1       currently           : 1       rejecting           : 1       
available           : 1       missing             : 1       general-purpose     : 1       hyperlink           : 1       
became              : 1       context             : 1       finds               : 1       experimental        : 1       
millions            : 1       reasons             : 1       loan                : 1       simply              : 1       
upgrades            : 1       expensive           : 1       ensures             : 1       described           : 1       
human-human         : 1       ecologists          : 1       http://www.industrialinternetconsortium.org: 1       extreme             : 1       
top-down            : 1       transferring        : 1       unify               : 1       solid               : 1       
reliable            : 1       optimization        : 1       accidently          : 1       evaluates           : 1       
designing           : 1       engineers           : 1       estimate            : 1       belong              : 1       
grand               : 1       composition         : 1       undecidable         : 1       viewing             : 1       
purpose             : 1       necessity           : 1       recent              : 1       surrogate           : 1       
globus              : 1       spent               : 1       machinery           : 1       howe                : 1       
named               : 1       1961                : 1       addresses           : 1       relevancy           : 1       
guaranteed          : 1       representational    : 1       hyperlinks          : 1       questioned          : 1       
theorem             : 1       influencing         : 1       edvac               : 1       deepening           : 1       
ecosystems          : 1       projects            : 1       formal              : 1       follows             : 1       
signal              : 1       mismatching         : 1       reichman            : 1       popular             : 1       
essential           : 1       clustering          : 1       ecology             : 1       meta-computing      : 1       
understood          : 1       trends              : 1       describing          : 1       broadband           : 1       
cyber-social        : 1       forgets             : 1       step                : 1       usa                 : 1       
anything            : 1       tracing             : 1       in-depth            : 1       simulation          : 1       
consequently        : 1       complementing       : 1       causation           : 1       recreate            : 1       
nsf                 : 1       servers             : 1       centrality          : 1       behaving            : 1       
impressed           : 1       seger               : 1       innate              : 1       bargaining          : 1       
forward             : 1       sections            : 1       transformable       : 1       daily-life          : 1       
externalizing       : 1       raising             : 1       us                  : 1       maturity            : 1       
kuhn                : 1       continuously        : 1       bell                : 1       associates          : 1       
neglecting          : 1       preventing          : 1       income              : 1       arithmetic          : 1       
machine-data        : 1       korf                : 1       fisher              : 1       correlated          : 1       
methodologies       : 1       provenance          : 1       age                 : 1       departments         : 1       
human-data-human    : 1       2003                : 1       2000                : 1       2004                : 1       
fahey               : 1       codd                : 1       co-author           : 1       incorporate         : 1       
meta-cognition      : 1       copernicus          : 1       concerned           : 1       facebook            : 1       
timely              : 1       recreation          : 1       positions           : 1       someday             : 1       
odp                 : 1       human-computer      : 1       sensation           : 1       video               : 1       
makers              : 1       index               : 1       optimize            : 1       giving              : 1       
han                 : 1       19th                : 1       sviokla             : 1       pushing             : 1       
let                 : 1       separation          : 1       invented            : 1       deduced             : 1       
involved            : 1       1937                : 1       examining           : 1       up-to-date          : 1       
formulated          : 1       apple               : 1       names               : 1       causal              : 1       
refers              : 1       hears               : 1       consumption         : 1       davisapril          : 1       
doubt               : 1       noisy               : 1       deepest             : 1       formally            : 1       
mismatch            : 1       cooperate           : 1       carrying            : 1       carried             : 1       
obvious             : 1       publications        : 1       closing             : 1       document-to-human   : 1       
proof               : 1       tax                 : 1       high                : 1       unlimitedly         : 1       
united              : 1       varied              : 1       regions             : 1       located             : 1       
service-oriented    : 1       establishment       : 1       stock               : 1       blocks              : 1       
philosophy          : 1       collection          : 1       distances           : 1       https://translate.google.com: 1       
induction           : 1       bind                : 1       scans               : 1       dhar                : 1       
chief               : 1       metaphors           : 1       allow               : 1       move                : 1       
relativity          : 1       varies              : 1       tenenbaum           : 1       2015                : 1       
descriptive         : 1       resolve             : 1       day                 : 1       worlds              : 1       
profound            : 1       identified          : 1       pathway             : 1       sufficiently        : 1       
transmitted         : 1       truth               : 1       l1                  : 1       identifies          : 1       
subset              : 1       doing               : 1       falsifiability      : 1       frequency           : 1       
static              : 1       mediates            : 1       frontier            : 1       integrates          : 1       
adaptive            : 1       integrated          : 1       achievements        : 1       high-tech           : 1       
workflow            : 1       completely          : 1       hubble              : 1       geometry            : 1       
times               : 1       davis               : 1       explored            : 1       retail              : 1       
housing             : 1       reaches             : 1       precisely           : 1       practitioners       : 1       
cabig               : 1       branches            : 1       low                 : 1       interests           : 1       
accompany           : 1       fuzzy               : 1       colleagues          : 1       richer              : 1       
shrinks             : 1       fluctuation         : 1       element             : 1       border              : 1       
clearly             : 1       viewed              : 1       documents           : 1       newtonian           : 1       
best                : 1       grounding           : 1       pursues             : 1       misunas             : 1       
axiomatic           : 1       deploy              : 1       intentions          : 1       propagate           : 1       
reduces             : 1       stronger            : 1       fact                : 1       impression          : 1       
agreed              : 1       portfolio           : 1       debate              : 1       hall                : 1       
shaping             : 1       queried             : 1       contain             : 1       shi                 : 1       
cycles              : 1       constructing        : 1       acquired            : 1       national            : 1       
operated            : 1       interview           : 1       laureate            : 1       difficulties        : 1       
closed              : 1       crude               : 1       george              : 1       tolman              : 1       
prediction          : 1       precious            : 1       limits              : 1       tf-idf              : 1       
attributed          : 1       machine-to-machine  : 1       tactical            : 1       comment             : 1       
maximize            : 1       unclean             : 1       tremendous          : 1       waste               : 1       
corresponding       : 1       coherence           : 1       bachman             : 1       clusters            : 1       
splits              : 1       promotes            : 1       internet-of         : 1       revisited           : 1       
discoveries         : 1       supply              : 1       almost              : 1       blood               : 1       
linkedin            : 1       helped              : 1       examined            : 1       greater             : 1       
productivity        : 1       disparate           : 1       administration      : 1       parts               : 1       
planned             : 1       mathematic          : 1       iot                 : 1       transformational    : 1       
judgment            : 1       contribution        : 1       keep                : 1       reflection          : 1       
http://www.ibm.com/cloud-computing/bluemix/: 1       well                : 1       user-friendly       : 1       stores              : 1       
heavily             : 1       hybrid              : 1       half                : 1       domestic            : 1       
localize            : 1       inmon               : 1       rapid               : 1       recommending        : 1       
maintaining         : 1       usage               : 1       close-loop          : 1       government          : 1       
decidable           : 1       five                : 1       supervise           : 1       variants            : 1       
page                : 1       regardless          : 1       foreseeable         : 1       twitter             : 1       
church              : 1       library             : 1       employment          : 1       merge               : 1       
broad               : 1       l2                  : 1       demonstrated        : 1       inaccurate          : 1       
self-organization   : 1       although            : 1       allenby             : 1       publishing          : 1       
behavior-centered   : 1       universe            : 1       recognized          : 1       converging          : 1       
zooms               : 1       assess              : 1       roads               : 1       goal-oriented       : 1       
1986                : 1       1985                : 1       1983                : 1       1981                : 1       
justifying          : 1       spiral              : 1       intention           : 1       fuses               : 1       
human-to-nature     : 1       biggest             : 1       naturally           : 1       construction        : 1       
question-answering  : 1       wise                : 1       ecosystem           : 1       lagging             : 1       
display             : 1       strengthens         : 1       universal           : 1       meaningless         : 1       
slowing             : 1       education           : 1       detail              : 1       old                 : 1       
kinds               : 1       diagnosis           : 1       pathways            : 1       persistent          : 1       
rule                : 1       volumes             : 1       indirectly          : 1       

WP_Fdic:
['the', 'DT']                      : 1153    ['and', 'CC']                      : 817     ['of', 'IN']                       : 663     
['to', 'TO']                       : 448     ['-rrb-', '-RRB-']                 : 354     ['-lrb-', '-LRB-']                 : 352     
['data', 'NNS']                    : 300     ['is', 'VBZ']                      : 291     ['in', 'IN']                       : 225     
['knowledge', 'NN']                : 184     ['can', 'MD']                      : 176     ['for', 'IN']                      : 171     
['big', 'JJ']                      : 156     ['system', 'NN']                   : 132     ['be', 'VB']                       : 123     
['with', 'IN']                     : 122     ['from', 'IN']                     : 120     ['are', 'VBP']                     : 112     
['on', 'IN']                       : 110     ['space', 'NN']                    : 108     ['as', 'IN']                       : 107     
['representation', 'NN']           : 99      ['it', 'PRP']                      : 98      ['data', 'NN']                     : 92      
['different', 'JJ']                : 92      ['by', 'IN']                       : 89      ['not', 'RB']                      : 84      
['which', 'WDT']                   : 79      ['between', 'IN']                  : 79      ['semantic', 'JJ']                 : 74      
['human', 'JJ']                    : 74      ['various', 'JJ']                  : 70      ['research', 'NN']                 : 70      
['or', 'CC']                       : 69      ['that', 'WDT']                    : 67      ['through', 'IN']                  : 64      
['an', 'DT']                       : 63      ['dimensions', 'NNS']              : 61      ['systems', 'NNS']                 : 60      
['concepts', 'NNS']                : 60      ['information', 'NN']              : 60      ['this', 'DT']                     : 58      
['cognitive', 'JJ']                : 57      ['computing', 'NN']                : 56      ['some', 'DT']                     : 52      
['into', 'IN']                     : 50      ['scientific', 'JJ']               : 50      ['has', 'VBZ']                     : 49      
['problem', 'NN']                  : 48      ['such', 'JJ']                     : 48      ['new', 'JJ']                      : 47      
['other', 'JJ']                    : 46      ['network', 'NN']                  : 46      ['complex', 'JJ']                  : 45      
['that', 'IN']                     : 45      ['links', 'NNS']                   : 44      ['modeling', 'NN']                 : 42      
['machine', 'NN']                  : 41      ['analysis', 'NN']                 : 41      ['social', 'JJ']                   : 41      
['representations', 'NNS']         : 40      ['development', 'NN']              : 40      ['example', 'NN']                  : 39      
['cyber-infrastructure', 'NN']     : 39      ['people', 'NNS']                  : 38      ['behaviors', 'NNS']               : 38      
['rules', 'NNS']                   : 37      ['e.g.', 'NNP']                    : 37      ['computing', 'VBG']               : 37      
["'s", 'POS']                      : 35      ['one', 'CD']                      : 35      ['science', 'NN']                  : 35      
['models', 'NNS']                  : 35      ['problems', 'NNS']                : 34      ['link', 'NN']                     : 34      
['but', 'CC']                      : 34      ['interaction', 'NN']              : 33      ['observed', 'JJ']                 : 32      
['process', 'NN']                  : 32      ['structure', 'NN']                : 31      ['scientists', 'NNS']              : 31      
['may', 'MD']                      : 30      ['important', 'JJ']                : 30      ['including', 'VBG']               : 30      
['management', 'NN']               : 30      ['model', 'NN']                    : 29      ['according', 'VBG']               : 28      
['classification', 'NN']           : 28      ['paradigm', 'NN']                 : 28      ['networks', 'NNS']                : 28      
['have', 'VBP']                    : 27      ['many', 'JJ']                     : 27      ['more', 'RBR']                    : 26      
['been', 'VBN']                    : 26      ['human', 'NN']                    : 26      ['also', 'RB']                     : 26      
['ability', 'NN']                  : 25      ['zhuge', 'NNP']                   : 25      ['at', 'IN']                       : 25      
['community', 'NN']                : 25      ['dimension', 'NN']                : 25      ['if', 'IN']                       : 25      
['relations', 'NNS']               : 24      ['like', 'IN']                     : 24      ['will', 'MD']                     : 24      
['consists', 'VBZ']                : 24      ['each', 'DT']                     : 24      ['its', 'PRP$']                    : 23      
['architecture', 'NN']             : 23      ['web', 'NNP']                     : 23      ['what', 'WP']                     : 23      
['processing', 'NN']               : 22      ['multi-dimensional', 'JJ']        : 22      ['physical', 'JJ']                 : 22      
['time', 'NN']                     : 22      ['nature', 'NN']                   : 22      ['implicit', 'JJ']                 : 22      
['great', 'JJ']                    : 22      ['papers', 'NNS']                  : 21      ['computer', 'NN']                 : 21      
['using', 'VBG']                   : 21      ['communities', 'NNS']             : 21      ['operations', 'NNS']              : 21      
['domain', 'NN']                   : 21      ['way', 'NN']                      : 21      ['often', 'RB']                    : 21      
['reasoning', 'NN']                : 20      ['devices', 'NNS']                 : 20      ['understand', 'VB']               : 20      
['users', 'NNS']                   : 20      ['computers', 'NNS']               : 20      ['fundamental', 'JJ']              : 20      
['big', 'NNP']                     : 20      ['applications', 'NNS']            : 20      ['basic', 'JJ']                    : 20      
['than', 'IN']                     : 20      ['there', 'EX']                    : 20      ['used', 'VBN']                    : 20      
['machines', 'NNS']                : 19      ['services', 'NNS']                : 19      ['motivation', 'NN']               : 19      
['how', 'WRB']                     : 19      ['world', 'NN']                    : 19      ['data', 'NNP']                    : 19      
['these', 'DT']                    : 19      ['help', 'VB']                     : 19      ['while', 'IN']                    : 19      
['understanding', 'NN']            : 19      ['following', 'VBG']               : 19      ['global', 'JJ']                   : 18      
['evolution', 'NN']                : 18      ['concerns', 'VBZ']                : 18      ['mapping', 'NN']                  : 18      
['methods', 'NNS']                 : 18      ['two', 'CD']                      : 18      ['discover', 'VB']                 : 18      
['any', 'DT']                      : 18      ['internet', 'NN']                 : 18      ['concept', 'NN']                  : 18      
['semantics', 'NNS']               : 18      ['we', 'PRP']                      : 17      ['more', 'JJR']                    : 17      
['nodes', 'NNS']                   : 17      ['society', 'NN']                  : 17      ['however', 'RB']                  : 17      
['things', 'NNS']                  : 17      ['environment', 'NN']              : 17      ['meaning', 'NN']                  : 17      
['managing', 'VBG']                : 16      ['resources', 'NNS']               : 16      ['technologies', 'NNS']            : 16      
['interactions', 'NNS']            : 16      ['when', 'WRB']                    : 15      ['generated', 'VBN']               : 15      
['infrastructure', 'NN']           : 15      ['thinking', 'NN']                 : 15      ['business', 'NN']                 : 15      
['needs', 'VBZ']                   : 15      ['target', 'NN']                   : 14      ['texts', 'NNS']                   : 14      
['so', 'RB']                       : 14      ['processes', 'NNS']               : 14      ['following', 'JJ']                : 14      
['certain', 'JJ']                  : 14      ['make', 'VB']                     : 14      ['analyzing', 'VBG']               : 14      
['they', 'PRP']                    : 14      ['issue', 'NN']                    : 14      ['find', 'VB']                     : 14      
['words', 'NNS']                   : 14      ['provide', 'VBP']                 : 14      ['turing', 'NNP']                  : 14      
['who', 'WP']                      : 14      ['exploration', 'NN']              : 14      ['existing', 'VBG']                : 14      
['researchers', 'NNS']             : 14      ['external', 'JJ']                 : 14      ['spaces', 'NNS']                  : 14      
['hard', 'JJ']                     : 13      ['value', 'NN']                    : 13      ['discovery', 'NN']                : 13      
['should', 'MD']                   : 13      ['human', 'NNP']                   : 13      ['generate', 'VB']                 : 13      
['use', 'VBP']                     : 13      ['current', 'JJ']                  : 13      ['could', 'MD']                    : 13      
['appropriate', 'JJ']              : 13      ['their', 'PRP$']                  : 13      ['behavior', 'NN']                 : 13      
['decision', 'NN']                 : 13      ['organization', 'NN']             : 13      ['objects', 'NNS']                 : 13      
['view', 'NN']                     : 13      ['indicators', 'NNS']              : 13      ['solution', 'NN']                 : 13      
['support', 'VB']                  : 12      ['status', 'NN']                   : 12      ['stage', 'NN']                    : 12      
['text', 'NN']                     : 12      ['traditional', 'JJ']              : 12      ['number', 'NN']                   : 12      
['because', 'IN']                  : 12      ['industrial', 'JJ']               : 12      ['2012', 'CD']                     : 12      
['formation', 'NN']                : 12      ['language', 'NN']                 : 12      ['another', 'DT']                  : 12      
['multiple', 'JJ']                 : 12      ['set', 'NN']                      : 12      ['scale', 'NN']                    : 11      
['automatically', 'RB']            : 11      ['structures', 'NNS']              : 11      ['point', 'NN']                    : 11      
['establishing', 'VBG']            : 11      ['reflect', 'VB']                  : 11      ['know', 'VB']                     : 11      
['experience', 'NN']               : 11      ['enterprise', 'NN']               : 11      ['small', 'JJ']                    : 11      
['enables', 'VBZ']                 : 11      ['etc.', 'FW']                     : 11      ['result', 'NN']                   : 11      
['about', 'IN']                    : 11      ['principles', 'NNS']              : 11      ['provide', 'VB']                  : 11      
['source', 'NN']                   : 11      ['practice', 'NN']                 : 11      ['suitable', 'JJ']                 : 11      
['does', 'VBZ']                    : 11      ['intelligence', 'NN']             : 11      ['et', 'NNP']                      : 11      
['all', 'DT']                      : 11      ['software', 'NN']                 : 11      ['economic', 'JJ']                 : 10      
['natural', 'JJ']                  : 10      ['mind', 'NN']                     : 10      ['provides', 'VBZ']                : 10      
['discovering', 'VBG']             : 10      ['necessary', 'JJ']                : 10      ['only', 'JJ']                     : 10      
['intelligent', 'JJ']              : 10      ['then', 'RB']                     : 10      ['beyond', 'IN']                   : 10      
['impact', 'NN']                   : 10      ['strategies', 'NNS']              : 10      ['storage', 'NN']                  : 10      
['production', 'NN']               : 10      ['distributed', 'VBN']             : 10      ['represent', 'VB']                : 10      
['categories', 'NNS']              : 10      ['operation', 'NN']                : 10      ['communication', 'NN']            : 10      
['usually', 'RB']                  : 10      ['real', 'JJ']                     : 10      ['symbiosis', 'NNS']               : 10      
['category', 'NN']                 : 10      ['economy', 'NN']                  : 10      ['better', 'JJR']                  : 10      
['analyze', 'VB']                  : 10      ['enable', 'VB']                   : 10      ['use', 'NN']                      : 10      
['only', 'RB']                     : 10      ['learning', 'NN']                 : 10      ['sensors', 'NNS']                 : 9       
['where', 'WRB']                   : 9       ['explicit', 'JJ']                 : 9       ['relationship', 'NN']             : 9       
['interactive', 'JJ']              : 9       ['role', 'NN']                     : 9       ['basis', 'NN']                    : 9       
['represented', 'VBN']             : 9       ['technology', 'NN']               : 9       ['life', 'NN']                     : 9       
['form', 'NN']                     : 9       ['developing', 'VBG']              : 9       ['able', 'JJ']                     : 9       
['do', 'VBP']                      : 9       ['given', 'VBN']                   : 9       ['generalization', 'NN']           : 9       
['knowledge', 'NNP']               : 9       ['manage', 'VB']                   : 9       ['sources', 'NNS']                 : 9       
['requirements', 'NNS']            : 9       ['integration', 'NN']              : 9       ['within', 'IN']                   : 9       
['same', 'JJ']                     : 9       ['power', 'NN']                    : 9       ['figure', 'NN']                   : 9       
['search', 'NN']                   : 9       ['questions', 'NNS']               : 9       ['part', 'NN']                     : 9       
['during', 'IN']                   : 9       ['algorithms', 'NNS']              : 9       ['aspects', 'NNS']                 : 9       
['was', 'VBD']                     : 9       ['depicts', 'VBZ']                 : 8       ['transformation', 'NN']           : 8       
['mechanisms', 'NNS']              : 8       ['relation', 'NN']                 : 8       ['based', 'VBN']                   : 8       
['cognitive', 'NN']                : 8       ['use', 'VB']                      : 8       ['limited', 'VBN']                 : 8       
['analytics', 'NNS']               : 8       ['cognition', 'NN']                : 8       ['sharing', 'NN']                  : 8       
['need', 'VBP']                    : 8       ['derive', 'VB']                   : 8       ['hierarchy', 'NN']                : 8       
['generates', 'VBZ']               : 8       ['contains', 'VBZ']                : 8       ['class', 'NN']                    : 8       
['three', 'CD']                    : 8       ['aim', 'NN']                      : 8       ['diverse', 'JJ']                  : 8       
['general', 'JJ']                  : 8       ['helps', 'VBZ']                   : 8       ['observation', 'NN']              : 8       
['citation', 'NN']                 : 8       ['turing', 'VBG']                  : 8       ['without', 'IN']                  : 8       
['significantly', 'RB']            : 8       ['key', 'JJ']                      : 8       ['gap', 'NN']                      : 8       
['ccp', 'NNP']                     : 8       ['design', 'NN']                   : 8       ['potential', 'JJ']                : 8       
['internal', 'JJ']                 : 8       ['reflects', 'VBZ']                : 8       ['kind', 'NN']                     : 8       
['processing', 'VBG']              : 8       ['engineering', 'NN']              : 8       ['kepler', 'NNP']                  : 8       
['user', 'NN']                     : 8       ['generation', 'NN']               : 8       ['flow', 'NN']                     : 8       
['particular', 'JJ']               : 8       ['determine', 'VBP']               : 7       ['open', 'JJ']                     : 7       
['local', 'JJ']                    : 7       ['members', 'NNS']                 : 7       ['realize', 'VB']                  : 7       
['topic', 'NN']                    : 7       ['process', 'VB']                  : 7       ['section', 'NNP']                 : 7       
['challenge', 'NN']                : 7       ['2008', 'CD']                     : 7       ['function', 'NN']                 : 7       
['thinking', 'VBG']                : 7       ['specialization', 'NN']           : 7       ['cycle', 'NN']                    : 7       
['figure', 'NNP']                  : 7       ['enabling', 'VBG']                : 7       ["''", "''"]                       : 7       
['organize', 'VB']                 : 7       ['strategy', 'NN']                 : 7       ['areas', 'NNS']                   : 7       
['evolve', 'VB']                   : 7       ['2011', 'CD']                     : 7       ['generate', 'VBP']                : 7       
['no', 'DT']                       : 7       ['solving', 'VBG']                 : 7       ['method', 'NN']                   : 7       
['humans', 'NNS']                  : 7       ['individual', 'JJ']               : 7       ['generating', 'VBG']              : 7       
['evolving', 'VBG']                : 7       ['both', 'DT']                     : 7       ['definition', 'NN']               : 7       
